ID,Titulo,Contenido,Fecha Creación,Estatus,Categoría,Tags,todas las tarjetas,Amex,Y,Código Postal,Entre,Efectivo,Colonia,Esquina,Generos,Latitud,Longitud,Precio inferior,MasterCard,NumExt,NumInt,Horario,Sevicios,Estado,Calle,Telefono 1,Telefono 2,Precio Superior,Delegación,Visa,Sitio Web,Zoom,Subtítulo,Calificación,Imagen principal
341038,Chaen,"[gallery td_select_gallery_slide=""slide"" columns=""5"" ids=""341040,341041,341042,341043"" orderby=""rand""] FB: restauranteytejapones/",2/10/2017 8:45,publish,Restaurantes,"Sinópsis, Japonesa,",0,0,Georgia,3810,Nebraska,0,Nápoles,,"Japonesa,",19.3892287,-99.1754646,200,0,23,,lun-sáb 11-20 h,"Japonesa,",Distrito Federal,Prolongación Eugenia,5536 8481,,350,Benito Juárez,0,,16,,,http://img.chilango.com/2017/02/chaen-4-4.jpg
341045,Tokyo,"Platillos típicos de la cocina japonesa, como arroz al vapor, tempura, teriyaki, sushi y a muy buen precio. No es necesario comer con los palillos, también tienen cubiertos.",2/9/2017 10:00,publish,Restaurantes,"Sinópsis, Japonesa,",1,,Génova,6600,Amberes,1,Juárez,,"Japonesa,",19.4260017,-99.1652613,200,,134,,lun-dom 11-23 h,"Japonesa,",Distrito Federal,Hamburgo,5525 3775,,400,Cuauhtémoc,,,16,,,http://img.chilango.com/2017/02/de-a-pie-5-2.jpg
341049,Chuck E. Cheese's Interlomas,,1/31/2017 14:18,draft,Restaurantes,"Sinópsis, Americana, Area para niños,",1,,,11520,,1,Granada,Miguel de Cervantes Saavedra,"Americana,",19.4390389,-99.2008376,200,,769,,"lun-jue 11-21 h, vie-dom 10-22 h.","Americana,Area para niños,",Distrito Federal,Ejército Nacional,,,400,Miguel Hidalgo,,,16,,,http://img.chilango.com/2017/02/chuck-e-cheese-s-4.jpg
341051,Chuck E. Cheese's Coyoacán,,1/31/2017 14:08,publish,Restaurantes,"Sinópsis, Americana, Area para niños,",1,,,4310,,1,Romero De Terreros,Universidad,"Americana,",19.3464322,-99.1788566,200,,1778,,"lun-jue 11-21 h, vie-dom 10-22 h","Americana,Area para niños,",Distrito Federal,Miguel Ángel de Quevedo,5292 4789,,400,Coyoacán,,,16,,,http://img.chilango.com/2017/02/chuck-e-cheese-s-5.jpg
341053,Kochi Kochi Land Centro Histórico,"[gallery td_select_gallery_slide=""slide"" columns=""5"" ids=""341055,341056,341057,341058"" orderby=""rand""] Chispas multicolor, bombones, colores pastel y mucha crema batida, son los elementos infaltables en el local que Kochi Kochi Land abrió en la Ciudad de México. Los postres más comunes de las calles de Japón ahora en el Centro Histórico. Pide a una Kochi Kochi girl, el taiyaki helado, el favorito hasta el momento: un cono de galleta con forma de pez koi que rellenan con helado de sabor taro, matcha o sémame (también hay de vainilla pero qué chiste); es mandatorio agregarle chispitas, galletas, malvaviscos y jarabe de chocolate (en la opción crepa harajuku, puedes ponerle fruta fresca, como fresas o zarzamoras). Entre otras curiosidades, tienen el refresco Ramune, famoso de los veranos nipones por la canica que cae después de que lo abres, y con la que tienes que lidiar de manera divertida hasta que te acabas la bebida. También ofrecen sus servicios en eventos privados e incluye la atención de una o varias Kochi Kochi girls. Anímate a ir vestido en tonos pastel, aportarías al espíritu del lugar.",1/31/2017 8:59,publish,Restaurantes,"Japonesa,",0,0,Juárez,6000,Independencia,1,Centro,,"Japonesa,",19.4339163,-99.142767,50,0,4D,,"lun-jue 12:30-20, vie-dom 12:30-21 h","Japonesa,",Ciudad de México,Dolores,s/n,,150,Cuauhtémoc,0,,16,,,http://img.chilango.com/2017/02/kochi-kochi-land-4.jpg
341060,La Strada,"La carta de este lugar está inspirada en la cocina tradicional italiana que, de la mano de un chef italiano, creó el menú para acercarse alas técnicas que dejen en el paladar un sabor casero. Sirve desayunos, también postres y helados.",1/27/2017 12:38,publish,Restaurantes,"Sinópsis, Valet parking, Internet Inalámbrico, Italiana, Servicio para llevar, Desayunos, Área para fumar, Servicio de bar, Servicio a domicilio, Terraza, Para ver deportes, Area para niños, Ideal para grupos grandes,",1,,Mosqueta,3940,Minerva,1,Crédito Constructor,,"Italiana,",19.3646225,-99.1804961,300,,38,,"lun-mié 9-22 h, jue-sáb 9-23 h, dom 9-19 h","Italiana,Desayunos,Area para niños,Ideal para grupos grandes,Valet parking,Área para fumar,Servicio de bar,Servicio a domicilio,Servicio para llevar,Terraza,Internet Inalámbrico,Para ver deportes,",Distrito Federal,Hera,5661 2619,,450,Benito Juárez,,http://www.lastradadf.com/,16,,,http://img.chilango.com/2017/02/una-pasta-en-la-strada-2.jpg
341062,China Girl Interlomas,"Sin más preámbulo que su sazón, y pasando por alto es aspecto kitsch que tanto gusta a los orientales, China Girl ofrece, en un ambiente totalmente casual y relajado, las especialidades comunes de los restaurantes chinos. Por eso se ha ganado el gusto de familias de la zona y sus alrededores, quienes lo han adoptado como opción para comer o cenar.",1/19/2017 9:02,publish,Restaurantes,"Sinópsis, China,",1,,,52763,,1,Hacienda De Las Palmas,Jesús del Monte,"China,",19.389685,-99.2918279,250,,1,,lun-dom 13-23 h,"China,",Estado De México,Martín Caballero,5247 4762,,300,Huixquilucan,,,16,,,http://img.chilango.com/2017/02/china-girl-2.jpg
341064,Ardente Condesa,"Por: Juan Luis R. Pons Después de su éxito en el Pedregal, al lado de Sud 777, Ardente inicia 2017 con una nueva sucursal, ahora en la Condesa. Contará con el mismo menú de comida italiana, vinos y postres artesanales (no te pierdas sus helados porque son del premiado Poncho Jarero, de Ozio Gelateria) y su pizza Margherita D.O.P. con ingredientes traídos del país de la bota. Será cuestión de que pasen los tres primeros meses de operación para que sus dueños obtengan también para esta sucursal la certificación de la Associazione Vera Pizza Napoletana, que garantiza su apego fiel a los sabores y métodos artesanales como tamaño y temperatura del horno, manejo de la masa y sabor del producto final. ",1/10/2017 17:31,publish,Restaurantes,"Sinópsis, Italiana,",1,,,6140,,1,Condesa,Amsterdam,"Italiana,",19.4129198,-99.1709541,350,,13,,"lun-mié 13-23 h, jue-sáb 13-24 h, dom 13-19 h","Italiana,",Distrito Federal,Laredo,,,500,Cuauhtémoc,,http://www.ardente.com.mx,16,,,http://img.chilango.com/2017/02/ardente-2.jpg
341066,Soul La Roma,"El glühwein, una bebida de origen alemán, es un vino tinto caliente, especiado y endulzado. El propósito principal de este trago es calentar hasta a la articulación más entumida. Soul La Roma –el cielo chilango del comfort food– lo trae a nuestras tierras bajo el nombre de Mulled Wine. Servido con una rodaja de naranja, es perfecto maridaje para el brownie con Nutella y tocino.",1/10/2017 17:12,publish,Restaurantes,"critica, Americana,",1,,Frontera,6700,Mérida,1,Roma Norte,,"Americana,",19.4196919,-99.1574118,100,,101,,"lun-jue 13-23 h, vie-sáb 13-00 h, dom 13-18 h","Americana,",Distrito Federal,Tabasco,7155 1299,,250,Cuauhtémoc,,,16,,Atención:3 - Calidad:3 - Ambiente:3 -,http://img.chilango.com/2017/02/vino-caliente-2.jpg
341070,Canalla Bistro,"Por: Pedro Reyes De reojo podría parecer asiático. Se leen palabras como thai, teriyaki, wasabi. Con una segunda lectura, entiendes que el chef es español: hay una ensaladilla rusa por ahí, aparece en el menú una empanada de langostino con ajillo… pero cuando la comida llega a la mesa, no existe un concepto previo que pueda definir la cocina del multipremiado Ricard Camarena. Llegó de Valencia con una cocina desenfadada y muy quitada de la pena; los sabores son contundentes y las presentaciones sacan sonrisas. Por ejemplo, el sándwich de niguiri de pato-Pekín (no es español, ni gringo, ni japonés, ni chino… es canalla) o la galleta Oreo de parmesano y tocino. Son bocados que provocan y obligan a pedir más. Mi recomendación: todo al centro. Las porciones son generosas y, si no se comparten, pueden llegar a saturar. Para muestra, la tempura melosa de verduras, una delicia una vez y una delicia dos veces, pero la cantidad para una persona podría ser mucho. Quizá la selección de platillos en mi primera visita a Canalla Bistro coincidió que todos tenían un alma cremosa –me faltaron toques ácidos–, pero la carta es generosa y hay suficientes opciones como para crear una buena experiencia. Su ubicación en un centro comercial todavía un tanto desangelado podría ser un problema, sin embargo, creo que Canalla tiene la suficiente propuesta como para hacer que, incluso, la gente tenga un pretexto para visitar la plaza.",12/30/2016 13:26,publish,Restaurantes,"critica,",1,,,11520,,1,Granada,Prolongación Moliére,,19.4384383,-99.2002702,350,,769,,"dom-jue 13-00 h, vie-sáb 13-00:30",,Distrito Federal,Ejército Nacional,5325 7601,,500,Miguel Hidalgo,,,16,,Atención:3 - Calidad:3 - Ambiente:3 -,http://img.chilango.com/2017/02/canalla-bistro-bomba-de-tres-chocolates-imperdible-2.jpg
341072,Ricerca,"Por: Sasha Gamboa Kale, fresas, albahaca y 72 especias están a la vista en el huerto de esta triada italiana compuesta por gelatería, repostería y restaurante. Primero llegó a mi mesa el salami italiano con focaccia. Para maridar este primer tiempo, el chef José Luis Cervantes me sugirió una copa de Fragolino, un vino bien italiano (a muy buen precio, $75, por copeo, o por botella, $310). Después, llegó la ensalada de hongos con una mezcla de lechugas del huerto. El aderezo –que cambian diariamente– era de betabel; dulce y acidito para ponerle sabor y color a la ensalada, sabía muy bien. Me enamoré de la pasta desde el olfato: el aroma que desprendía era cítrico –limón amarillo con hierbas–, mezclado con el queso Grana Padano que se fusiona con la pasta caliente y hecha en casa. Con este plato tocó otro vinito, un Montepulciano que mereció pedir la botella, $300. Y aunque soy una auténtica fan de la pasta bien hecha y del vino italiano, la estrella del restaurante fueron, esta vez, los gelatos: 16 variedades reposan en el refrigerador. Los tres imperdibles: aguacate, cacao y aceite de oliva. Este último es el gelato insignia de la casa. ¿Por qué están tan buenos? El chef es un graduado en el tema: estuvo muchos años en Italia y estudió en la Universidad del Gelato –sí hay una universidad, hasta ahora me voy enterando de que existe–, yo lo hubiera titulado con honores.",12/30/2016 13:12,publish,Restaurantes,"critica, Italiana,",1,,,1770,,1,San José Del Olivar,,"Italiana,",19.3374849,-99.2392438,250,,1151,,mar-dom 9-23 h,"Italiana,",Distrito Federal,Av. Toluca,6842 0904,,350,Alvaro Obregón,,,16,,Atención:3 - Calidad:3 - Ambiente:3 -,http://img.chilango.com/2017/02/ricerca-helado-de-aceite-de-oliva-2.jpg
341074,L'Appart,"Por: María José Alegret Nos transportamos a calles parisinas, donde un platillo típico y un buen vino nos dan calor al corazón. L’Appart es un bistró de comida casera y familiar muy bien ejecutado. Entre quiche, ratatouille y tarte tatin, nos dejamos seducir por este rincón que trae un pedacito de la Ciudad Luz a la Condesa. Quizás el menú no sea muy amplio, pero reúne elementos obligados. Si la decoración típica de departamento europeo no había hecho viajar nuestra mente, la sopa de cebolla hizo la labor. Nos hicimos paso entre los mares de queso de un Gratin de Coquillettes (pasta gratinada) y disfrutamos a bocados un Hachis Parmentier (pastel de carne y puré de papa). En mi opinión, esto se debe acompañar con vino sí o sí. De dueño francés, la esencia de L’Appart reside en la sazón. Un buen ejemplo es el pan francés: con una capa crujiente de canela en el exterior y esponjoso y suave por dentro. Lo acompaña un baño de crema y una importante selección de frutos rojos. Merece un aplauso de pie y se coloca como uno de los favoritos de la carta. Poco a poco, este restaurante está haciéndose presente en el radar de los comelones chilangos. Ojalá que el cohete de la Condesa despegue pronto, seguro que llegará alto.",12/30/2016 12:50,publish,Restaurantes,"critica,",1,,Cuernavaca,6140,Jojutla,1,Condesa,,,19.4134285,-99.1755669,350,,64,,"mar-sáb 14-22:30 h, dom 11-17:30 h,",,Distrito Federal,Fernando Montes de Oca,7155 1302,,500,Cuauhtémoc,,,16,,Atención:4 - Calidad:4 - Ambiente:4 -,http://img.chilango.com/2017/02/lappart-parmentier-que-no-te-tiemble-la-mano-al-echarle-pimienta-2.jpg
341076,Bartola,"Por: María José Alegret Hacía falta en Altavista un buen concepto de cocina de cantina. Con arquitectura muy mexicana y un amplio menú, este espacio resalta tanto en diseño como en gastronomía. Bienvenidos sean aquellos con ganas de echar más de una copa y disfrutar de una buena sobremesa. Para calentar motores, unos escamoles salteados en mantequilla. Obligado comerlos en taco, pues quién le dice que no a una tortilla hecha a mano. Como toque especial, la salsa de chicatana molcajeteada en tu mesa. Cantina que se respeta, tiene buen chamorro, éste se deshace en la boca a la primera mordida –eso sí, aviéntalo al centro que el tamaño aquí sí cuenta–. Y bien dicen que lo mejor llega al último… y en Bartola lo saben. Tu visita no estará completa si no pruebas el flan de queso de cabra. En serio, pídelo. La planta alta recibe con música en vivo los fines de semana. Si eres afortunado, encontrarás un grupo cubano que trae buena fiesta. En la parte de abajo, mantienen un ambiente más tranquilo. En ambos pisos tendrás como aliada la carta de mixología. Los viciosos agradecerán que Bartola sea tabaco friendly. Con muy pocas cuestiones que corregir (le tuvieron miedo a la sal en el fideo seco, por ejemplo), este lugar pinta mejor de lo esperado. ¿Será que pronto se ganará el codiciado quinto chile de Chilango? Plaza carso, ",12/30/2016 12:39,publish,Restaurantes,"critica, Mexicana,",1,,,1000,,1,San Angel,Arturo,"Mexicana,",19.3491203,-99.1962098,400,,154,,"lun-mié 13:30-00 h, jue y vie 13:30-2 h, sáb y dom 10-2 h","Mexicana,",Distrito Federal,Altavista,7595 3104,,600,Alvaro Obregón,,,16,,Atención:4 - Calidad:4 - Ambiente:4 -,http://img.chilango.com/2017/02/bartola-2.jpg
341078,Maison Kayser Virreyes,"Por: Sasha Gamboa La repostería y los sabores de la cocina con tradición francesa del panadero Eric Kayser llegan a la colonia Juárez de la Ciudad de México con un propuesta de panadería, restaurante, cafetería y tienda gourmet. El lugar hace honor a sus lema: “Compramos por los ojos, volvemos por el sabor”, un lugar que deleita al comensal con vitrinas llenas pan dulce, salado, pasteles y ensaladas listos para llevar o para degustar en alguna de las mesas del lugar. Una de nuestras piezas favoritas son los financiers, de consistencia esponjosa al interior y viscosa por fuera. Por la mañana elige un auténtico desayuno francés como el Croque madame (pan francés con huevo, jamón, queso y ensalada) con un jugo de naranja natural y de postre un macarronade de frambuesa con pistache, ¡toda una explosión de texturas y sabores! Una buena opción para llevar es la mini pizza fugaz de ratatouille. Si lo que buscas es algo para regalar elige la caja de financiers miniatura, de tres sabores: chocolate, vainilla y café. La opción dulce para degustar a cualquier hora es el financier framboise que va muy bien con una taza de café o té. Esta es la primera de las tres sucursales que Eric Kayser abrirá este fin de año en México, las otras dos estarán ubicadas en el Centro Comercial Perisur y en la terminal dos del Aeropuerto de la Ciudad de México. @maisonkaysermex",12/30/2016 11:55,publish,Restaurantes,"critica, Francesa,",1,,,11040,,1,Molino Del Rey,,"Francesa,",19.4255139,-99.2031318,40,,24,,"lun-vie 7-22:30 h, sáb y dom 8-22:30 h","Francesa,",Distrito Federal,"Torre Virreyes, Pedregal",5202 3173,,300,Miguel Hidalgo,,,16,,Atención:3 - Calidad:4 - Ambiente:0 -,http://img.chilango.com/2017/02/grand-vennoise-chocolat-2.jpg
341084,Mia Domenicca,"[gallery td_select_gallery_slide=""slide"" columns=""5"" ids=""341086,341087"" orderby=""rand""] A la Roma le faltaba un restaurante como Mia Domenicca. Si bien la cocina de producto es un concepto que presumen varios, pocos la ejecutan con un merecido aplauso. Esta nueva apertura se ganó mis elogios. Les cuento por qué. Bajo una notoria influencia mediterránea, la intención de sus platillos y la decoración interior, muy a la toscana, hacen de este lugar un espacio acogedor para el que busca un punto medio entre casual y fine dining. Sin abrumarnos con pretensiones, el menú consta únicamente de 20 platillos, mismos que varían dependiendo de la oferta de productos locales. La insignia de la casa y la principal responsable de una calificación perfecta de cinco chiles es una seta rosa glaseada con sofrito de kale y jugo de hongos. Con una textura suave y un sabor ciertamente mantequilloso, la considero lo imperdible del lugar. Llena los huequitos restantes con unos ravioles hechos desde cero en la cocina rellenos de ricotta con puré de hongos y mantequilla de salvia. Mia Domenicca tiene las armas para coronarse como favorito en la Roma y convertirse en uno de los mejores de la Ciudad de México. Espero su éxito porque, como diría Joan Sebastian, lo tienen bien merecido.",12/23/2016 12:08,publish,Restaurantes,"critica, Mediterránea, Abierto en Domingo,",1,0,,6700,,1,Roma Norte,Cozumel,"Mediterránea,",19.4191015,-99.1708158,350,0,279,,"mar-sáb 13:30-23 h, dom 13:30-18 h","Mediterránea,Abierto en Domingo,",Distrito Federal,Durango,9130 8456,,550,Cuauhtémoc,0,,16,,Atención:5 - Calidad:5 - Ambiente:5 -,http://img.chilango.com/2017/02/mia-domenicca-1-4.jpg
341091,La Costilla,"Esta taquería con una gran ubicación en Cumbres de Maltrata y la Glorieta de Vértiz, ofrece un menú digno para el monchis después de la fiesta. Sin ser una gran representación de la costilla, cumple con la tarea de quitarte el hambre con sus tacos de suadero y longaniza. El precio no es muy amigable, pero su horario es amplio en fin de semana así que lánzate si andas por la zona y es tu opción más cercana.",12/17/2016 11:27,publish,Restaurantes,"critica, Mexicana, Abierto en Domingo, Servicio para llevar,",,,,3020,,1,Narvarte,Glorieta de Vértiz,"Mexicana,",19.3915536,-99.1508229,200,1,352,,"mar-jue 13-2 h, vie 13-4 h, sáb 13-3 h, dom 13-00 h","Mexicana,Abierto en Domingo,Servicio para llevar,",Distrito Federal,Cumbres de Maltrata,5698 9688,,400,Benito Juárez,1,,16,,Atención:2 - Calidad:2 - Ambiente:2 -,http://img.chilango.com/2017/02/la-costilla-2.jpg
